,date,country,channel,n_tickets
76,2020-03-30,-1,39,143.0
77,2020-03-31,-1,39,146.0
78,2020-04-01,-1,39,144.0
79,2020-04-02,-1,39,140.0
80,2020-03-24,-1,40,4.0
81,2020-03-25,-1,40,4.0
82,2020-03-26,-1,40,4.0
83,2020-03-27,-1,40,4.0
84,2020-03-28,-1,40,3.0
85,2020-03-29,-1,40,4.0
86,2020-03-30,-1,40,4.0
87,2020-03-31,-1,40,4.0
88,2020-04-01,-1,40,4.0
89,2020-04-02,-1,40,4.0
90,2020-03-24,0,39,71.0
91,2020-03-25,0,39,70.0
92,2020-03-26,0,39,72.0
93,2020-03-27,0,39,69.0
94,2020-03-28,0,39,56.0
95,2020-03-29,0,39,58.0
96,2020-03-30,0,39,71.0
97,2020-03-31,0,39,71.0
98,2020-04-01,0,39,70.0
99,2020-04-02,0,39,72.0
100,2020-03-24,2,37,2.0
101,2020-03-25,2,37,2.0
102,2020-03-26,2,37,2.0
103,2020-03-27,2,37,2.0
104,2020-03-28,2,37,1.0
105,2020-03-29,2,37,2.0
106,2020-03-30,2,37,2.0
107,2020-03-31,2,37,2.0
108,2020-04-01,2,37,2.0
109,2020-04-02,2,37,2.0
110,2020-03-24,4,-1,104.0
111,2020-03-25,4,-1,108.0
112,2020-03-26,4,-1,115.0
113,2020-03-27,4,-1,124.0
114,2020-03-28,4,-1,101.0
115,2020-03-29,4,-1,90.0
116,2020-03-30,4,-1,133.0
117,2020-03-31,4,-1,104.0
118,2020-04-01,4,-1,108.0
119,2020-04-02,4,-1,118.0
120,2020-03-24,4,26,4.0
121,2020-03-25,4,26,4.0
122,2020-03-26,4,26,4.0
123,2020-03-27,4,26,3.0
124,2020-03-28,4,26,3.0
125,2020-03-29,4,26,3.0
126,2020-03-30,4,26,4.0
127,2020-03-31,4,26,4.0
128,2020-04-01,4,26,4.0
129,2020-04-02,4,26,4.0
130,2020-03-24,4,28,93.0
131,2020-03-25,4,28,98.0
132,2020-03-26,4,28,101.0
133,2020-03-27,4,28,93.0
134,2020-03-28,4,28,92.0
135,2020-03-29,4,28,112.0
136,2020-03-30,4,28,102.0
137,2020-03-31,4,28,93.0
138,2020-04-01,4,28,98.0
139,2020-04-02,4,28,101.0
140,2020-03-24,4,29,4.0
141,2020-03-25,4,29,4.0
142,2020-03-26,4,29,4.0
143,2020-03-27,4,29,4.0
144,2020-03-28,4,29,4.0
145,2020-03-29,4,29,5.0
146,2020-03-30,4,29,4.0
147,2020-03-31,4,29,4.0
148,2020-04-01,4,29,4.0
149,2020-04-02,4,29,4.0
150,2020-03-24,4,31,8.0
151,2020-03-25,4,31,8.0
152,2020-03-26,4,31,8.0
153,2020-03-27,4,31,8.0
154,2020-03-28,4,31,6.0
155,2020-03-29,4,31,7.0
156,2020-03-30,4,31,8.0
157,2020-03-31,4,31,8.0
158,2020-04-01,4,31,8.0
159,2020-04-02,4,31,8.0
160,2020-03-24,4,35,44.0
161,2020-03-25,4,35,44.0
162,2020-03-26,4,35,46.0
163,2020-03-27,4,35,43.0
164,2020-03-28,4,35,41.0
165,2020-03-29,4,35,44.0
166,2020-03-30,4,35,43.0
167,2020-03-31,4,35,44.0
168,2020-04-01,4,35,44.0
169,2020-04-02,4,35,46.0
170,2020-03-24,4,37,86.0
171,2020-03-25,4,37,86.0
172,2020-03-26,4,37,90.0
173,2020-03-27,4,37,85.0
174,2020-03-28,4,37,84.0
175,2020-03-29,4,37,92.0
176,2020-03-30,4,37,86.0
177,2020-03-31,4,37,86.0
178,2020-04-01,4,37,86.0
179,2020-04-02,4,37,90.0
180,2020-03-24,4,39,493.0
181,2020-03-25,4,39,504.0
182,2020-03-26,4,39,521.0
183,2020-03-27,4,39,497.0
184,2020-03-28,4,39,443.0
185,2020-03-29,4,39,523.0
186,2020-03-30,4,39,504.0
187,2020-03-31,4,39,493.0
188,2020-04-01,4,39,504.0
189,2020-04-02,4,39,521.0
190,2020-03-24,4,40,6.0
191,2020-03-25,4,40,5.0
192,2020-03-26,4,40,5.0
193,2020-03-27,4,40,5.0
194,2020-03-28,4,40,4.0
195,2020-03-29,4,40,5.0
196,2020-03-30,4,40,6.0
197,2020-03-31,4,40,6.0
198,2020-04-01,4,40,5.0
199,2020-04-02,4,40,5.0
200,2020-03-24,5,-1,19.0
201,2020-03-25,5,-1,20.0
202,2020-03-26,5,-1,23.0
203,2020-03-27,5,-1,21.0
204,2020-03-28,5,-1,25.0
205,2020-03-29,5,-1,17.0
206,2020-03-30,5,-1,20.0
207,2020-03-31,5,-1,19.0
208,2020-04-01,5,-1,20.0
209,2020-04-02,5,-1,23.0
210,2020-03-24,5,28,19.0
211,2020-03-25,5,28,20.0
212,2020-03-26,5,28,18.0
213,2020-03-27,5,28,17.0
214,2020-03-28,5,28,14.0
215,2020-03-29,5,28,18.0
216,2020-03-30,5,28,19.0
217,2020-03-31,5,28,19.0
218,2020-04-01,5,28,20.0
219,2020-04-02,5,28,18.0
220,2020-03-24,5,35,9.0
221,2020-03-25,5,35,9.0
222,2020-03-26,5,35,9.0
223,2020-03-27,5,35,9.0
224,2020-03-28,5,35,8.0
225,2020-03-29,5,35,9.0
226,2020-03-30,5,35,9.0
227,2020-03-31,5,35,9.0
228,2020-04-01,5,35,9.0
229,2020-04-02,5,35,9.0
230,2020-03-24,5,37,24.0
231,2020-03-25,5,37,24.0
232,2020-03-26,5,37,20.0
233,2020-03-27,5,37,22.0
234,2020-03-28,5,37,22.0
235,2020-03-29,5,37,24.0
236,2020-03-30,5,37,23.0
237,2020-03-31,5,37,24.0
238,2020-04-01,5,37,24.0
239,2020-04-02,5,37,20.0
240,2020-03-24,5,39,87.0
241,2020-03-25,5,39,87.0
242,2020-03-26,5,39,91.0
243,2020-03-27,5,39,91.0
244,2020-03-28,5,39,94.0
245,2020-03-29,5,39,94.0
246,2020-03-30,5,39,87.0
247,2020-03-31,5,39,87.0
248,2020-04-01,5,39,87.0
249,2020-04-02,5,39,91.0
250,2020-03-24,6,39,3.0
251,2020-03-25,6,39,4.0
252,2020-03-26,6,39,4.0
253,2020-03-27,6,39,4.0
254,2020-03-28,6,39,3.0
255,2020-03-29,6,39,3.0
256,2020-03-30,6,39,4.0
257,2020-03-31,6,39,3.0
258,2020-04-01,6,39,4.0
259,2020-04-02,6,39,4.0
260,2020-03-24,7,-1,5.0
261,2020-03-25,7,-1,5.0
262,2020-03-26,7,-1,5.0
263,2020-03-27,7,-1,5.0
264,2020-03-28,7,-1,5.0
265,2020-03-29,7,-1,5.0
266,2020-03-30,7,-1,5.0
267,2020-03-31,7,-1,5.0
268,2020-04-01,7,-1,5.0
269,2020-04-02,7,-1,5.0
270,2020-03-24,7,37,4.0
271,2020-03-25,7,37,4.0
272,2020-03-26,7,37,4.0
273,2020-03-27,7,37,4.0
274,2020-03-28,7,37,3.0
275,2020-03-29,7,37,4.0
276,2020-03-30,7,37,4.0
277,2020-03-31,7,37,4.0
278,2020-04-01,7,37,4.0
279,2020-04-02,7,37,4.0
280,2020-03-24,7,39,17.0
281,2020-03-25,7,39,17.0
282,2020-03-26,7,39,18.0
283,2020-03-27,7,39,16.0
284,2020-03-28,7,39,15.0
285,2020-03-29,7,39,17.0
286,2020-03-30,7,39,17.0
287,2020-03-31,7,39,17.0
288,2020-04-01,7,39,17.0
289,2020-04-02,7,39,18.0
290,2020-03-24,8,28,4.0
291,2020-03-25,8,28,4.0
292,2020-03-26,8,28,4.0
293,2020-03-27,8,28,4.0
294,2020-03-28,8,28,3.0
295,2020-03-29,8,28,4.0
296,2020-03-30,8,28,4.0
297,2020-03-31,8,28,4.0
298,2020-04-01,8,28,4.0
299,2020-04-02,8,28,4.0
300,2020-03-24,8,39,11.0
301,2020-03-25,8,39,12.0
302,2020-03-26,8,39,12.0
303,2020-03-27,8,39,13.0
304,2020-03-28,8,39,12.0
305,2020-03-29,8,39,11.0
306,2020-03-30,8,39,11.0
307,2020-03-31,8,39,11.0
308,2020-04-01,8,39,12.0
309,2020-04-02,8,39,12.0
310,2020-03-24,9,-1,17.0
311,2020-03-25,9,-1,17.0
312,2020-03-26,9,-1,17.0
313,2020-03-27,9,-1,16.0
314,2020-03-28,9,-1,14.0
315,2020-03-29,9,-1,13.0
316,2020-03-30,9,-1,20.0
317,2020-03-31,9,-1,18.0
318,2020-04-01,9,-1,18.0
319,2020-04-02,9,-1,18.0
320,2020-03-24,9,28,16.0
321,2020-03-25,9,28,17.0
322,2020-03-26,9,28,18.0
323,2020-03-27,9,28,20.0
324,2020-03-28,9,28,15.0
325,2020-03-29,9,28,17.0
326,2020-03-30,9,28,15.0
327,2020-03-31,9,28,16.0
328,2020-04-01,9,28,17.0
329,2020-04-02,9,28,17.0
330,2020-03-24,9,31,3.0
331,2020-03-25,9,31,3.0
332,2020-03-26,9,31,3.0
333,2020-03-27,9,31,3.0
334,2020-03-28,9,31,2.0
335,2020-03-29,9,31,3.0
336,2020-03-30,9,31,3.0
337,2020-03-31,9,31,3.0
338,2020-04-01,9,31,3.0
339,2020-04-02,9,31,3.0
340,2020-03-24,9,35,9.0
341,2020-03-25,9,35,9.0
342,2020-03-26,9,35,9.0
343,2020-03-27,9,35,8.0
344,2020-03-28,9,35,7.0
345,2020-03-29,9,35,8.0
346,2020-03-30,9,35,9.0
347,2020-03-31,9,35,9.0
348,2020-04-01,9,35,9.0
349,2020-04-02,9,35,9.0
350,2020-03-24,9,37,24.0
351,2020-03-25,9,37,25.0
352,2020-03-26,9,37,24.0
353,2020-03-27,9,37,21.0
354,2020-03-28,9,37,20.0
355,2020-03-29,9,37,19.0
356,2020-03-30,9,37,25.0
357,2020-03-31,9,37,24.0
358,2020-04-01,9,37,25.0
359,2020-04-02,9,37,24.0
360,2020-03-24,9,39,76.0
361,2020-03-25,9,39,76.0
362,2020-03-26,9,39,77.0
363,2020-03-27,9,39,76.0
364,2020-03-28,9,39,73.0
365,2020-03-29,9,39,80.0
366,2020-03-30,9,39,76.0
367,2020-03-31,9,39,76.0
368,2020-04-01,9,39,76.0
369,2020-04-02,9,39,77.0
370,2020-03-24,9,40,3.0
371,2020-03-25,9,40,3.0
372,2020-03-26,9,40,3.0
373,2020-03-27,9,40,3.0
374,2020-03-28,9,40,3.0
375,2020-03-29,9,40,3.0
376,2020-03-30,9,40,3.0
377,2020-03-31,9,40,3.0
378,2020-04-01,9,40,3.0
379,2020-04-02,9,40,3.0
380,2020-03-24,11,-1,99.0
381,2020-03-25,11,-1,101.0
382,2020-03-26,11,-1,106.0
383,2020-03-27,11,-1,121.0
384,2020-03-28,11,-1,89.0
385,2020-03-29,11,-1,81.0
386,2020-03-30,11,-1,109.0
387,2020-03-31,11,-1,99.0
388,2020-04-01,11,-1,101.0
389,2020-04-02,11,-1,110.0
390,2020-03-24,11,28,90.0
391,2020-03-25,11,28,100.0
392,2020-03-26,11,28,99.0
393,2020-03-27,11,28,87.0
394,2020-03-28,11,28,77.0
395,2020-03-29,11,28,81.0
396,2020-03-30,11,28,101.0
397,2020-03-31,11,28,90.0
398,2020-04-01,11,28,100.0
399,2020-04-02,11,28,99.0
400,2020-03-24,11,31,12.0
401,2020-03-25,11,31,12.0
402,2020-03-26,11,31,12.0
403,2020-03-27,11,31,12.0
404,2020-03-28,11,31,12.0
405,2020-03-29,11,31,13.0
406,2020-03-30,11,31,11.0
407,2020-03-31,11,31,12.0
408,2020-04-01,11,31,12.0
409,2020-04-02,11,31,12.0
410,2020-03-24,11,35,54.0
411,2020-03-25,11,35,48.0
412,2020-03-26,11,35,47.0
413,2020-03-27,11,35,47.0
414,2020-03-28,11,35,39.0
415,2020-03-29,11,35,38.0
416,2020-03-30,11,35,52.0
417,2020-03-31,11,35,54.0
418,2020-04-01,11,35,48.0
419,2020-04-02,11,35,47.0
420,2020-03-24,11,37,78.0
421,2020-03-25,11,37,78.0
422,2020-03-26,11,37,81.0
423,2020-03-27,11,37,78.0
424,2020-03-28,11,37,74.0
425,2020-03-29,11,37,77.0
426,2020-03-30,11,37,78.0
427,2020-03-31,11,37,78.0
428,2020-04-01,11,37,78.0
429,2020-04-02,11,37,81.0
430,2020-03-24,11,39,442.0
431,2020-03-25,11,39,456.0
432,2020-03-26,11,39,490.0
433,2020-03-27,11,39,456.0
434,2020-03-28,11,39,420.0
435,2020-03-29,11,39,442.0
436,2020-03-30,11,39,447.0
437,2020-03-31,11,39,442.0
438,2020-04-01,11,39,456.0
439,2020-04-02,11,39,490.0
440,2020-03-24,11,40,7.0
441,2020-03-25,11,40,6.0
442,2020-03-26,11,40,6.0
443,2020-03-27,11,40,4.0
444,2020-03-28,11,40,5.0
445,2020-03-29,11,40,4.0
446,2020-03-30,11,40,7.0
447,2020-03-31,11,40,7.0
448,2020-04-01,11,40,6.0
449,2020-04-02,11,40,6.0
450,2020-03-24,12,-1,51.0
451,2020-03-25,12,-1,52.0
452,2020-03-26,12,-1,66.0
453,2020-03-27,12,-1,68.0
454,2020-03-28,12,-1,47.0
455,2020-03-29,12,-1,42.0
456,2020-03-30,12,-1,60.0
457,2020-03-31,12,-1,51.0
458,2020-04-01,12,-1,52.0
459,2020-04-02,12,-1,66.0
460,2020-03-24,12,26,3.0
461,2020-03-25,12,26,3.0
462,2020-03-26,12,26,3.0
463,2020-03-27,12,26,2.0
464,2020-03-28,12,26,2.0
465,2020-03-29,12,26,2.0
466,2020-03-30,12,26,3.0
467,2020-03-31,12,26,3.0
468,2020-04-01,12,26,3.0
469,2020-04-02,12,26,3.0
470,2020-03-24,12,28,43.0
471,2020-03-25,12,28,43.0
472,2020-03-26,12,28,44.0
473,2020-03-27,12,28,44.0
474,2020-03-28,12,28,40.0
475,2020-03-29,12,28,42.0
476,2020-03-30,12,28,44.0
477,2020-03-31,12,28,43.0
478,2020-04-01,12,28,43.0
479,2020-04-02,12,28,44.0
480,2020-03-24,12,35,21.0
481,2020-03-25,12,35,20.0
482,2020-03-26,12,35,20.0
483,2020-03-27,12,35,20.0
484,2020-03-28,12,35,22.0
485,2020-03-29,12,35,22.0
486,2020-03-30,12,35,20.0
487,2020-03-31,12,35,21.0
488,2020-04-01,12,35,20.0
489,2020-04-02,12,35,21.0
490,2020-03-24,12,37,39.0
491,2020-03-25,12,37,39.0
492,2020-03-26,12,37,40.0
493,2020-03-27,12,37,39.0
494,2020-03-28,12,37,37.0
495,2020-03-29,12,37,40.0
496,2020-03-30,12,37,44.0
497,2020-03-31,12,37,39.0
498,2020-04-01,12,37,39.0
499,2020-04-02,12,37,40.0
500,2020-03-24,12,39,220.0
501,2020-03-25,12,39,220.0
502,2020-03-26,12,39,220.0
503,2020-03-27,12,39,226.0
504,2020-03-28,12,39,201.0
505,2020-03-29,12,39,226.0
506,2020-03-30,12,39,221.0
507,2020-03-31,12,39,220.0
508,2020-04-01,12,39,220.0
509,2020-04-02,12,39,220.0
510,2020-03-24,14,-1,6.0
511,2020-03-25,14,-1,6.0
512,2020-03-26,14,-1,6.0
513,2020-03-27,14,-1,6.0
514,2020-03-28,14,-1,5.0
515,2020-03-29,14,-1,5.0
516,2020-03-30,14,-1,6.0
517,2020-03-31,14,-1,6.0
518,2020-04-01,14,-1,6.0
519,2020-04-02,14,-1,6.0
520,2020-03-24,14,31,2.0
521,2020-03-25,14,31,2.0
522,2020-03-26,14,31,2.0
523,2020-03-27,14,31,2.0
524,2020-03-28,14,31,1.0
525,2020-03-29,14,31,2.0
526,2020-03-30,14,31,2.0
527,2020-03-31,14,31,2.0
528,2020-04-01,14,31,2.0
529,2020-04-02,14,31,2.0
530,2020-03-24,14,37,5.0
531,2020-03-25,14,37,6.0
532,2020-03-26,14,37,6.0
533,2020-03-27,14,37,5.0
534,2020-03-28,14,37,5.0
535,2020-03-29,14,37,7.0
536,2020-03-30,14,37,5.0
537,2020-03-31,14,37,5.0
538,2020-04-01,14,37,6.0
539,2020-04-02,14,37,6.0
540,2020-03-24,14,39,22.0
541,2020-03-25,14,39,22.0
542,2020-03-26,14,39,21.0
543,2020-03-27,14,39,22.0
544,2020-03-28,14,39,21.0
545,2020-03-29,14,39,22.0
546,2020-03-30,14,39,24.0
547,2020-03-31,14,39,22.0
548,2020-04-01,14,39,22.0
549,2020-04-02,14,39,21.0
550,2020-03-24,15,-1,5.0
551,2020-03-25,15,-1,5.0
552,2020-03-26,15,-1,5.0
553,2020-03-27,15,-1,5.0
554,2020-03-28,15,-1,4.0
555,2020-03-29,15,-1,4.0
556,2020-03-30,15,-1,5.0
557,2020-03-31,15,-1,5.0
558,2020-04-01,15,-1,5.0
559,2020-04-02,15,-1,5.0
560,2020-03-24,15,37,3.0
561,2020-03-25,15,37,3.0
562,2020-03-26,15,37,3.0
563,2020-03-27,15,37,3.0
564,2020-03-28,15,37,2.0
565,2020-03-29,15,37,3.0
566,2020-03-30,15,37,3.0
567,2020-03-31,15,37,3.0
568,2020-04-01,15,37,3.0
569,2020-04-02,15,37,3.0
570,2020-03-24,15,39,14.0
571,2020-03-25,15,39,13.0
572,2020-03-26,15,39,13.0
573,2020-03-27,15,39,12.0
574,2020-03-28,15,39,12.0
575,2020-03-29,15,39,12.0
576,2020-03-30,15,39,19.0
577,2020-03-31,15,39,14.0
578,2020-04-01,15,39,13.0
579,2020-04-02,15,39,13.0
580,2020-03-24,16,39,10.0
581,2020-03-25,16,39,10.0
582,2020-03-26,16,39,12.0
583,2020-03-27,16,39,13.0
584,2020-03-28,16,39,14.0
585,2020-03-29,16,39,10.0
586,2020-03-30,16,39,9.0
587,2020-03-31,16,39,10.0
588,2020-04-01,16,39,10.0
589,2020-04-02,16,39,12.0
590,2020-03-24,17,39,7.0
591,2020-03-25,17,39,7.0
592,2020-03-26,17,39,7.0
593,2020-03-27,17,39,7.0
594,2020-03-28,17,39,8.0
595,2020-03-29,17,39,9.0
596,2020-03-30,17,39,7.0
597,2020-03-31,17,39,7.0
598,2020-04-01,17,39,7.0
599,2020-04-02,17,39,7.0
600,2020-03-24,18,39,3.0
601,2020-03-25,18,39,4.0
602,2020-03-26,18,39,4.0
603,2020-03-27,18,39,4.0
604,2020-03-28,18,39,3.0
605,2020-03-29,18,39,3.0
606,2020-03-30,18,39,4.0
607,2020-03-31,18,39,3.0
608,2020-04-01,18,39,4.0
609,2020-04-02,18,39,4.0
610,2020-03-24,19,-1,8.0
611,2020-03-25,19,-1,8.0
612,2020-03-26,19,-1,8.0
613,2020-03-27,19,-1,9.0
614,2020-03-28,19,-1,9.0
615,2020-03-29,19,-1,7.0
616,2020-03-30,19,-1,9.0
617,2020-03-31,19,-1,8.0
618,2020-04-01,19,-1,8.0
619,2020-04-02,19,-1,8.0
620,2020-03-24,19,28,7.0
621,2020-03-25,19,28,7.0
622,2020-03-26,19,28,7.0
623,2020-03-27,19,28,7.0
624,2020-03-28,19,28,6.0
625,2020-03-29,19,28,6.0
626,2020-03-30,19,28,7.0
627,2020-03-31,19,28,7.0
628,2020-04-01,19,28,7.0
629,2020-04-02,19,28,7.0
630,2020-03-24,19,31,2.0
631,2020-03-25,19,31,2.0
632,2020-03-26,19,31,3.0
633,2020-03-27,19,31,2.0
634,2020-03-28,19,31,2.0
635,2020-03-29,19,31,2.0
636,2020-03-30,19,31,3.0
637,2020-03-31,19,31,2.0
638,2020-04-01,19,31,2.0
639,2020-04-02,19,31,3.0
640,2020-03-24,19,35,4.0
641,2020-03-25,19,35,4.0
642,2020-03-26,19,35,5.0
643,2020-03-27,19,35,4.0
644,2020-03-28,19,35,4.0
645,2020-03-29,19,35,4.0
646,2020-03-30,19,35,5.0
647,2020-03-31,19,35,4.0
648,2020-04-01,19,35,4.0
649,2020-04-02,19,35,5.0
650,2020-03-24,19,39,29.0
651,2020-03-25,19,39,32.0
652,2020-03-26,19,39,36.0
653,2020-03-27,19,39,38.0
654,2020-03-28,19,39,31.0
655,2020-03-29,19,39,30.0
656,2020-03-30,19,39,29.0
657,2020-03-31,19,39,29.0
658,2020-04-01,19,39,32.0
659,2020-04-02,19,39,36.0
660,2020-03-24,19,40,3.0
661,2020-03-25,19,40,3.0
662,2020-03-26,19,40,3.0
663,2020-03-27,19,40,3.0
664,2020-03-28,19,40,2.0
665,2020-03-29,19,40,3.0
666,2020-03-30,19,40,3.0
667,2020-03-31,19,40,3.0
668,2020-04-01,19,40,3.0
669,2020-04-02,19,40,3.0
670,2020-03-24,20,-1,9.0
671,2020-03-25,20,-1,9.0
672,2020-03-26,20,-1,9.0
673,2020-03-27,20,-1,9.0
674,2020-03-28,20,-1,9.0
675,2020-03-29,20,-1,9.0
676,2020-03-30,20,-1,9.0
677,2020-03-31,20,-1,9.0
678,2020-04-01,20,-1,9.0
679,2020-04-02,20,-1,9.0
680,2020-03-24,20,23,2.0
681,2020-03-25,20,23,2.0
682,2020-03-26,20,23,2.0
683,2020-03-27,20,23,2.0
684,2020-03-28,20,23,3.0
685,2020-03-29,20,23,2.0
686,2020-03-30,20,23,2.0
687,2020-03-31,20,23,2.0
688,2020-04-01,20,23,2.0
689,2020-04-02,20,23,2.0
690,2020-03-24,20,28,13.0
691,2020-03-25,20,28,7.0
692,2020-03-26,20,28,8.0
693,2020-03-27,20,28,7.0
694,2020-03-28,20,28,6.0
695,2020-03-29,20,28,10.0
696,2020-03-30,20,28,9.0
697,2020-03-31,20,28,13.0
698,2020-04-01,20,28,7.0
699,2020-04-02,20,28,8.0
700,2020-03-24,20,37,7.0
701,2020-03-25,20,37,7.0
702,2020-03-26,20,37,7.0
703,2020-03-27,20,37,7.0
704,2020-03-28,20,37,7.0
705,2020-03-29,20,37,8.0
706,2020-03-30,20,37,7.0
707,2020-03-31,20,37,7.0
708,2020-04-01,20,37,7.0
709,2020-04-02,20,37,7.0
710,2020-03-24,20,39,40.0
711,2020-03-25,20,39,37.0
712,2020-03-26,20,39,34.0
713,2020-03-27,20,39,36.0
714,2020-03-28,20,39,32.0
715,2020-03-29,20,39,35.0
716,2020-03-30,20,39,39.0
717,2020-03-31,20,39,40.0
718,2020-04-01,20,39,37.0
719,2020-04-02,20,39,34.0
720,2020-03-24,21,-1,14.0
721,2020-03-25,21,-1,14.0
722,2020-03-26,21,-1,16.0
723,2020-03-27,21,-1,14.0
724,2020-03-28,21,-1,13.0
725,2020-03-29,21,-1,12.0
726,2020-03-30,21,-1,14.0
727,2020-03-31,21,-1,14.0
728,2020-04-01,21,-1,14.0
729,2020-04-02,21,-1,16.0
730,2020-03-24,21,28,12.0
731,2020-03-25,21,28,13.0
732,2020-03-26,21,28,12.0
733,2020-03-27,21,28,13.0
734,2020-03-28,21,28,12.0
735,2020-03-29,21,28,12.0
736,2020-03-30,21,28,15.0
737,2020-03-31,21,28,12.0
738,2020-04-01,21,28,13.0
739,2020-04-02,21,28,12.0
740,2020-03-24,21,35,7.0
741,2020-03-25,21,35,7.0
742,2020-03-26,21,35,7.0
743,2020-03-27,21,35,7.0
744,2020-03-28,21,35,6.0
745,2020-03-29,21,35,7.0
746,2020-03-30,21,35,8.0
747,2020-03-31,21,35,7.0
748,2020-04-01,21,35,7.0
749,2020-04-02,21,35,7.0
750,2020-03-24,21,37,10.0
751,2020-03-25,21,37,10.0
752,2020-03-26,21,37,10.0
753,2020-03-27,21,37,10.0
754,2020-03-28,21,37,11.0
755,2020-03-29,21,37,12.0
756,2020-03-30,21,37,10.0
757,2020-03-31,21,37,10.0
758,2020-04-01,21,37,10.0
759,2020-04-02,21,37,10.0
760,2020-03-24,21,39,60.0
761,2020-03-25,21,39,60.0
762,2020-03-26,21,39,63.0
763,2020-03-27,21,39,67.0
764,2020-03-28,21,39,57.0
765,2020-03-29,21,39,62.0
766,2020-03-30,21,39,61.0
767,2020-03-31,21,39,60.0
768,2020-04-01,21,39,60.0
769,2020-04-02,21,39,63.0
770,2020-03-24,23,-1,19.0
771,2020-03-25,23,-1,19.0
772,2020-03-26,23,-1,21.0
773,2020-03-27,23,-1,20.0
774,2020-03-28,23,-1,16.0
775,2020-03-29,23,-1,13.0
776,2020-03-30,23,-1,20.0
777,2020-03-31,23,-1,19.0
778,2020-04-01,23,-1,21.0
779,2020-04-02,23,-1,22.0
780,2020-03-24,23,28,19.0
781,2020-03-25,23,28,18.0
782,2020-03-26,23,28,18.0
783,2020-03-27,23,28,20.0
784,2020-03-28,23,28,23.0
785,2020-03-29,23,28,26.0
786,2020-03-30,23,28,19.0
787,2020-03-31,23,28,19.0
788,2020-04-01,23,28,18.0
789,2020-04-02,23,28,18.0
790,2020-03-24,23,35,9.0
791,2020-03-25,23,35,9.0
792,2020-03-26,23,35,9.0
793,2020-03-27,23,35,9.0
794,2020-03-28,23,35,10.0
795,2020-03-29,23,35,11.0
796,2020-03-30,23,35,9.0
797,2020-03-31,23,35,9.0
798,2020-04-01,23,35,9.0
799,2020-04-02,23,35,9.0
800,2020-03-24,23,37,22.0
801,2020-03-25,23,37,21.0
802,2020-03-26,23,37,21.0
803,2020-03-27,23,37,21.0
804,2020-03-28,23,37,20.0
805,2020-03-29,23,37,20.0
806,2020-03-30,23,37,22.0
807,2020-03-31,23,37,22.0
